Id,Weekly_Sales
1_1_2012-11-02,32436.446732
1_1_2012-11-09,24521.93980645
1_1_2012-11-16,21371.28685941
1_1_2012-11-23,20785.67531479
1_1_2012-11-30,23186.28623911
1_1_2012-12-07,32333.67763604
1_1_2012-12-14,41146.6510704
1_1_2012-12-21,45806.22339119
1_1_2012-12-28,22222.5368432
1_1_2013-01-04,16698.01040605
1_1_2013-01-11,16999.13791258
1_1_2013-01-18,17676.2424785
1_1_2013-01-25,17992.64113818
1_1_2013-02-01,26485.20557007
1_1_2013-02-08,39650.84976666
1_1_2013-02-15,41524.59197212
1_1_2013-02-22,30757.0628055
1_1_2013-03-01,20611.62681696
1_1_2013-03-08,21152.65830508
1_1_2013-03-15,21681.55423729
1_1_2013-03-22,22549.71966102
1_1_2013-03-29,25960.32618379
1_1_2013-04-05,45026.21878049
1_1_2013-04-12,32819.13271186
1_1_2013-04-19,23890.04542373
1_1_2013-04-26,23392.71068493
1_1_2013-05-03,17886.29353372
1_1_2013-05-10,18163.83440678
1_1_2013-05-17,17500.53745763
1_1_2013-05-24,16353.44034247
1_1_2013-05-31,16112.20094332
1_1_2013-06-07,17065.86305085
1_1_2013-06-14,16737.29372881
1_1_2013-06-21,16265.06915254
1_1_2013-06-28,15954.05935482
1_1_2013-07-05,16954.71602787
1_1_2013-07-12,16685.98508475
1_1_2013-07-19,16190.55966102
1_1_2013-07-26,15774.93109589
1_2_2012-11-02,45970.97528249
1_2_2012-11-09,44798.24317972
1_2_2012-11-16,43760.14582622
1_2_2012-11-23,44337.08845641
1_2_2012-11-30,44057.11181785
1_2_2012-12-07,48383.71839429
1_2_2012-12-14,51048.5033259
1_2_2012-12-21,56950.0251235
1_2_2012-12-28,40025.04365944
1_2_2013-01-04,43359.62815185
1_2_2013-01-11,42569.05205174
1_2_2013-01-18,42316.92530105
1_2_2013-01-25,41931.59091455
1_2_2013-02-01,50553.71168059
1_2_2013-02-08,48265.20127222
1_2_2013-02-15,47524.7216627
1_2_2013-02-22,46986.67414969
1_2_2013-03-01,51089.55570328
1_2_2013-03-08,48705.69559322
1_2_2013-03-15,46258.23237288
1_2_2013-03-22,44576.95559322
1_2_2013-03-29,45171.22215792
1_2_2013-04-05,48970.31735192
1_2_2013-04-12,45575.83067797
1_2_2013-04-19,45282.56864407
1_2_2013-04-26,45225.27890411
1_2_2013-05-03,49030.11704817
1_2_2013-05-10,46725.01
1_2_2013-05-17,44501.24288136
1_2_2013-05-24,45046.8480137
1_2_2013-05-31,44788.8408769
1_2_2013-06-07,48249.38271186
1_2_2013-06-14,46106.30576271
1_2_2013-06-21,45075.09830508
1_2_2013-06-28,46062.40606654
1_2_2013-07-05,47337.89188153
1_2_2013-07-12,44986.07389831
1_2_2013-07-19,44729.45016949
1_2_2013-07-26,44800.73664384
1_3_2012-11-02,9488.15817827
1_3_2012-11-09,9610.07200922
1_3_2012-11-16,9648.16679274
1_3_2012-11-23,11519.40267074
1_3_2012-11-30,9601.08541484
1_3_2012-12-07,11868.50226583
1_3_2012-12-14,12423.32930233
1_3_2012-12-21,12686.4165721
1_3_2012-12-28,10001.74218429
1_3_2013-01-04,14079.74323611
1_3_2013-01-11,13674.62327386
1_3_2013-01-18,12569.3300446
1_3_2013-01-25,11903.58332109
1_3_2013-02-01,12100.37401714
1_3_2013-02-08,12686.37171687
1_3_2013-02-15,11106.81416185
1_3_2013-02-22,10986.5282943
1_3_2013-03-01,11295.36024277
1_3_2013-03-08,11339.03881356
1_3_2013-03-15,9289.08779661
1_3_2013-03-22,8612.0720339
1_3_2013-03-29,9161.73293825
1_3_2013-04-05,9644.88219512
1_3_2013-04-12,8789.00711864
1_3_2013-04-19,8630.67762712
1_3_2013-04-26,8750.10273973
1_3_2013-05-03,10138.94862428
1_3_2013-05-10,9687.50677966
1_3_2013-05-17,8460.87677966
1_3_2013-05-24,8207.56753425
1_3_2013-05-31,8226.00995065
1_3_2013-06-07,8189.22067797
1_3_2013-06-14,7902.09576271
1_3_2013-06-21,7296.03033898
1_3_2013-06-28,7268.1906446
1_3_2013-07-05,8526.65250871
1_3_2013-07-12,11754.85305085
