Id,Weekly_Sales
1_1_2012-11-02,37627.188
1_1_2012-11-09,19033.48
1_1_2012-11-16,19251.532
1_1_2012-11-23,20074.866
1_1_2012-11-30,19312.66695652
1_1_2012-12-07,32582.612
1_1_2012-12-14,45428.962
1_1_2012-12-21,50445.742
1_1_2012-12-28,21660.36
1_1_2013-01-04,16334.31
1_1_2013-01-11,17080.52
1_1_2013-01-18,17955.648
1_1_2013-01-25,18411.368
1_1_2013-02-01,22772.598
1_1_2013-02-08,37347.962
1_1_2013-02-15,51174.408
1_1_2013-02-22,19820.064
1_1_2013-03-01,20166.675
1_1_2013-03-08,21175.1525
1_1_2013-03-15,22036.0075
1_1_2013-03-22,21801.05
1_1_2013-03-29,28271.9475
1_1_2013-04-05,57508.6975
1_1_2013-04-12,36753.385
1_1_2013-04-19,25359.72
1_1_2013-04-26,16297.0375
1_1_2013-05-03,17895.1275
1_1_2013-05-10,17976.635
1_1_2013-05-17,18620.0275
1_1_2013-05-24,16658.0625
1_1_2013-05-31,15649.50285714
1_1_2013-06-07,17220.38
1_1_2013-06-14,17328.52
1_1_2013-06-21,16529.125
1_1_2013-06-28,15874.295
1_1_2013-07-05,17450.8125
1_1_2013-07-12,16846.825
1_1_2013-07-19,16202.695
1_1_2013-07-26,15638.4975
1_2_2012-11-02,46940.744
1_2_2012-11-09,44239.678
1_2_2012-11-16,42975.968
1_2_2012-11-23,44828.546
1_2_2012-11-30,42664.98173913
1_2_2012-12-07,48396.786
1_2_2012-12-14,50403.764
1_2_2012-12-21,63324.944
1_2_2012-12-28,40451.896
1_2_2013-01-04,43969.744
1_2_2013-01-11,41954.814
1_2_2013-01-18,42890.854
1_2_2013-01-25,41594.142
1_2_2013-02-01,51324.992
1_2_2013-02-08,49386.776
1_2_2013-02-15,47332.106
1_2_2013-02-22,46714.172
1_2_2013-03-01,52715.2675
1_2_2013-03-08,48539.1975
1_2_2013-03-15,46447.725
1_2_2013-03-22,44670.4075
1_2_2013-03-29,45370.3975
1_2_2013-04-05,50717.035
1_2_2013-04-12,44630.8175
1_2_2013-04-19,45807.5275
1_2_2013-04-26,45196.7
1_2_2013-05-03,50410.955
1_2_2013-05-10,47014.0725
1_2_2013-05-17,44227.325
1_2_2013-05-24,45630.83
1_2_2013-05-31,44813.48714286
1_2_2013-06-07,48670.6675
1_2_2013-06-14,46750.495
1_2_2013-06-21,45663.4275
1_2_2013-06-28,47046.835
1_2_2013-07-05,49098.37
1_2_2013-07-12,44996.9925
1_2_2013-07-19,45109.555
1_2_2013-07-26,44946.9975
1_3_2012-11-02,9443.608
1_3_2012-11-09,9634.492
1_3_2012-11-16,9743.46
1_3_2012-11-23,9873.26
1_3_2012-11-30,9633.62086957
1_3_2012-12-07,12261.242
1_3_2012-12-14,12702.766
1_3_2012-12-21,13032.872
1_3_2012-12-28,8615.52
1_3_2013-01-04,14678.884
1_3_2013-01-11,13603.842
1_3_2013-01-18,12034.424
1_3_2013-01-25,11161.238
1_3_2013-02-01,11896.476
1_3_2013-02-08,12004.61
1_3_2013-02-15,10832.66
1_3_2013-02-22,10490.952
1_3_2013-03-01,11300.2625
1_3_2013-03-08,11616.775
1_3_2013-03-15,9165.16
1_3_2013-03-22,8194.92
1_3_2013-03-29,9438.635
1_3_2013-04-05,9790.7
1_3_2013-04-12,8490.62
