Id,Weekly_Sales
1_1_2012-11-02,33044.30587202
1_1_2012-11-09,24751.72494024
1_1_2012-11-16,20215.37379272
1_1_2012-11-23,20714.74412497
1_1_2012-11-30,21103.45700869
1_1_2012-12-07,30783.69816733
1_1_2012-12-14,41300.90306773
1_1_2012-12-21,47505.70998897
1_1_2012-12-28,22103.74444971
1_1_2013-01-04,16597.82421581
1_1_2013-01-11,16912.77944223
1_1_2013-01-18,17730.26015936
1_1_2013-01-25,18140.43015436
1_1_2013-02-01,26017.93641913
1_1_2013-02-08,39472.59444889
1_1_2013-02-15,44631.27188841
1_1_2013-02-22,28166.5535
1_1_2013-03-01,20525.21129032
1_1_2013-03-08,21162.57846154
1_1_2013-03-15,21698.62153846
1_1_2013-03-22,22194.37230769
1_1_2013-03-29,26386.20846847
1_1_2013-04-05,46373.51230769
1_1_2013-04-12,31827.53423077
1_1_2013-04-19,23494.86615385
1_1_2013-04-26,24153.78538462
1_1_2013-05-03,17810.70691244
1_1_2013-05-10,18221.59807692
1_1_2013-05-17,17480.46653846
1_1_2013-05-24,16068.18423077
1_1_2013-05-31,15739.57574879
1_1_2013-06-07,17114.375
1_1_2013-06-14,16671.84807692
1_1_2013-06-21,16196.83346154
1_1_2013-06-28,15935.29252252
1_1_2013-07-05,17037.12538462
1_1_2013-07-12,16617.98961538
1_1_2013-07-19,16188.16846154
1_1_2013-07-26,15667.34076923
1_2_2012-11-02,46234.96534504
1_2_2012-11-09,45045.26681275
1_2_2012-11-16,43526.32093716
1_2_2012-11-23,44371.70270224
1_2_2012-11-30,43588.05799469
1_2_2012-12-07,47545.43920319
1_2_2012-12-14,50847.61426295
1_2_2012-12-21,57917.58438809
1_2_2012-12-28,40089.30076428
1_2_2013-01-04,43524.12892095
1_2_2013-01-11,42684.15709163
1_2_2013-01-18,42306.95992032
1_2_2013-01-25,41794.02228225
1_2_2013-02-01,50800.12969481
1_2_2013-02-08,48387.78291412
1_2_2013-02-15,47678.59746781
1_2_2013-02-22,46967.1035
1_2_2013-03-01,51596.4340553
1_2_2013-03-08,48483.90461538
1_2_2013-03-15,46165.24730769
1_2_2013-03-22,44251.27038462
1_2_2013-03-29,45078.27153153
1_2_2013-04-05,49465.525
1_2_2013-04-12,45097.40269231
1_2_2013-04-19,45371.88730769
1_2_2013-04-26,45208.63153846
1_2_2013-05-03,49469.58202765
1_2_2013-05-10,46568.01346154
1_2_2013-05-17,44254.82846154
1_2_2013-05-24,45159.02961538
1_2_2013-05-31,44889.30877617
1_2_2013-06-07,48405.76884615
1_2_2013-06-14,45851.70615385
1_2_2013-06-21,44807.56653846
1_2_2013-06-28,46191.94783784
1_2_2013-07-05,47694.86230769
1_2_2013-07-12,44610.885
1_2_2013-07-19,44737.79038462
1_2_2013-07-26,44798.38576923
1_3_2012-11-02,9505.89666248
1_3_2012-11-09,9642.25936255
1_3_2012-11-16,9671.78140022
1_3_2012-11-23,10722.32973266
1_3_2012-11-30,9626.72198684
1_3_2012-12-07,11779.36649402
1_3_2012-12-14,12550.04940239
1_3_2012-12-21,12744.05909592
1_3_2012-12-28,9391.23871792
1_3_2013-01-04,14298.10017566
